"";"ID";"spname";"position"
"463";"93";"Artemisia desertorum";"FT_only"
"464";"94";"Artemisia desertorum";"match"
"465";"94";"Setaria viridis";"fac_only"
"466";"94";"Oxytropis psammocharis";"fac_only"
"467";"94";"Salsola ruthenica";"fac_only"
"468";"94";"Herba artimisiae";"fac_only"
"469";"94";"Medicago sativa";"fac_only"
"470";"94";"Bassia dasyphylla";"fac_only"
"471";"94";"Agrostis tenuis";"fac_only"
"472";"94";"Kummerowia stipulacea";"fac_only"
"473";"94";"Agriophyllum squarrosum";"fac_only"
"474";"94";"Sonchus oleraceus";"fac_only"
"475";"94";"Heteropappus altaicus";"fac_only"
"476";"94";"Poa annua";"fac_only"
"477";"94";"Artemisia scoparia";"fac_only"
"478";"94";"Corispermum chinganicum";"fac_only"
"479";"94";"Tribulus terrestris";"fac_only"
"480";"94";"Cirsium japonicum";"fac_only"
"481";"94";"Euphorbia thymifolia";"fac_only"
"482";"94";"Caragana korshinskii";"FT_only"
"483";"95";"Artemisia desertorum";"match"
"484";"95";"Juniperus formosana";"match"
"485";"95";"Bassia dasyphylla";"fac_only"
"486";"95";"Setaria viridis";"fac_only"
"487";"95";"Kummerowia stipulacea";"fac_only"
"488";"95";"Allium mongolicum";"fac_only"
"489";"95";"Oxytropis psammocharis";"fac_only"
"490";"95";"Agrostis tenuis";"fac_only"
"491";"95";"Poa annua";"fac_only"
"492";"95";"Agriophyllum squarrosum";"fac_only"
"493";"95";"Corispermum chinganicum";"fac_only"
"494";"95";"Herba artimisiae";"fac_only"
"495";"95";"Heteropappus altaicus";"fac_only"
"496";"95";"Salsola ruthenica";"fac_only"
"497";"95";"Suaeda salsa";"fac_only"
"498";"95";"Artemisia scoparia";"fac_only"
"499";"95";"Isatis tinctoria";"fac_only"
"500";"95";"Tribulus terrestris";"fac_only"
"501";"95";"Caragana korshinskii";"FT_only"
"502";"96";"Cynanchum hancockianum";"match"
"503";"96";"Artemisia scoparia";"match"
"504";"96";"Juniperus formosana";"match"
"505";"96";"Artemisia desertorum";"match"
"506";"96";"Kummerowia stipulacea";"fac_only"
"507";"96";"Poa annua";"fac_only"
"508";"96";"Agrostis tenuis";"fac_only"
"509";"96";"Oxytropis psammocharis";"fac_only"
"510";"96";"Setaria viridis";"fac_only"
"511";"96";"Heteropappus altaicus";"fac_only"
"512";"96";"Poa sphondylodes";"fac_only"
"513";"96";"Isatis tinctoria";"fac_only"
"514";"96";"Stemmacanthauniflora";"fac_only"
"515";"96";"Sonchus oleraceus";"fac_only"
"516";"96";"Herba artimisiae";"fac_only"
"517";"96";"Ixeridium chinense";"fac_only"
"518";"96";"Artemisia argyi";"fac_only"
"519";"96";"Thalictrum petaloideum";"fac_only"
"520";"96";"Allium mongolicum";"fac_only"
"521";"96";"Melilotus officinalis";"FT_only"
"522";"96";"Peganum harmala";"FT_only"
"523";"96";"Caragana korshinskii";"FT_only"
"524";"97";"Artemisia scoparia";"match"
"525";"97";"Achnatherum splendens";"match"
"526";"97";"Cynanchum hancockianum";"match"
"527";"97";"Artemisia argyi";"fac_only"
"528";"97";"Medicago sativa";"fac_only"
"529";"97";"Poa annua";"fac_only"
"530";"97";"Euphorbia esula";"fac_only"
"531";"97";"Phragmites australias";"fac_only"
"532";"97";"Chenopodium album";"fac_only"
"533";"97";"Salsola ruthenica";"fac_only"
"534";"97";"Bassia dasyphylla";"fac_only"
"535";"97";"Corispermum chinganicum";"fac_only"
"536";"97";"Allium mongolicum";"fac_only"
"537";"97";"Poa sphondylodes";"fac_only"
"538";"97";"Oxytropis psammocharis";"fac_only"
"539";"97";"Convolvulus arvensis";"fac_only"
"540";"97";"Ixeridium chinense";"fac_only"
"541";"97";"Sonchus oleraceus";"fac_only"
"542";"97";"Agriophyllum squarrosum";"fac_only"
"543";"97";"Euphorbia thymifolia";"fac_only"
"544";"97";"Heteropappus altaicus";"fac_only"
