"","ID","replicate","D_bare_only","D_nurse_only","D_both"
"3963","252","21",2.69295934460309,1.87456393454001,NA
"3964","252","22",3.71169379392659,4.41277846508069,NA
"3965","252","23",3.71169379392659,NA,1.26923055289928
"3966","252","24",3.55276612813045,4.41277846508069,NA
"3967","252","25",1.77938867542323,2.49046217341294,NA
"3968","252","26",0.477762370254782,NA,NA
"3969","252","27",0.955524740509564,2.80203101729535,NA
"3970","252","28",0.872615548367103,2.94140082945772,NA
"3971","252","29",0.955524740509564,NA,NA
"3972","252","30",3.71169379392659,NA,NA
"3973","252","31",2.94140082945772,NA,NA
"3974","252","32",2.29215467114685,NA,NA
"3975","252","33",3.71169379392659,NA,NA
"3976","252","34",NA,NA,NA
"3977","252","35",3.77688834592273,NA,NA
"3978","252","36",0.872615548367103,NA,NA
"3979","252","37",0.436307774183551,NA,NA
"3980","252","38",0,NA,0.872615548367103
"3981","252","39",1.40878078407093,NA,NA
"3982","252","40",3.41208461931117,NA,0.955524740509564
"3983","252","41",0.872615548367103,NA,NA
"3984","252","42",NA,NA,NA
"3985","252","43",3.62938647229664,NA,NA
"3986","252","44",2.94140082945772,NA,NA
"3987","252","45",0.872615548367103,NA,NA
"3988","252","46",NA,3.71169379392659,2.94140082945772
"3989","252","47",3.71169379392659,2.77951491657177,NA
"3990","252","48",3.71169379392659,0.872615548367103,NA
"3991","252","49",2.56058400075318,NA,NA
"3992","252","50",0.872615548367103,1.84733144812992,NA
"3993","252","51",NA,NA,2.23360174935871
"3994","252","52",1.89236824066411,NA,2.23360174935871
"3995","252","53",1.89236824066411,2.95782046574533,2.23360174935871
"3996","252","54",1.89236824066411,1.57289751379012,NA
"3997","252","55",NA,NA,1.89236824066411
"3998","252","56",3.31634377541118,NA,2.23360174935871
"3999","252","57",3.31634377541118,2.23360174935871,1.89236824066411
"4000","252","58",1.65077131542763,2.48077125514466,NA
"4001","252","59",1.58657992442361,1.89236824066411,NA
"4002","252","60",1.89236824066411,2.4164494527191,NA
"4003","252","61",1.40917439019115,2.48077125514466,NA
"4004","252","62",1.89236824066411,2.2458326983718,NA
"4005","252","63",1.40917439019115,2.24175571536744,NA
"4006","252","64",1.87901834322126,2.4164494527191,NA
"4007","252","65",NA,NA,2.23360174935871
"4008","252","66",1.40917439019115,NA,1.89236824066411
"4009","252","67",1.89236824066411,1.98390935018664,NA
"4010","252","68",NA,2.4164494527191,1.89236824066411
"4011","252","69",1.89236824066411,2.18630740933997,NA
"4012","252","70",NA,NA,2.06298499501141
"4013","252","71",2.23360174935871,2.4164494527191,1.89236824066411
"4014","252","72",NA,NA,1.84504812673799
"4015","252","73",1.89236824066411,2.0486441604268,NA
"4016","252","74",NA,1.89236824066411,NA
"4017","252","75",0.946184120332054,1.84504812673799,NA
"4018","272","1",2.06530190960539,1.99480820630881,1.21002979807875
"4019","272","2",2.00812917584461,1.48013866810066,1.17005856678623
"4020","272","3",1.48013866810066,1.53918507058795,1.52508416956156
"4021","272","4",1.2485537343941,1.79519303958348,NA
"4022","272","5",1.99480820630881,1.48013866810066,1.52508416956156
"4023","272","6",1.71578728311048,NA,0.894975426595936
"4024","272","7",1.47633986160035,NA,1.34844855026273
"4025","272","8",1.92431450301223,1.92431450301223,1.49512050192096
"4026","272","9",1.01306823157051,NA,1.52508416956156
"4027","272","10",1.44812469972324,1.46158237373639,1.53918507058795
"4028","272","11",1.52508416956156,1.52508416956156,1.99480820630881
"4029","272","12",1.52508416956156,1.79519303958348,NA
"4030","272","13",1.7246993362869,NA,2.06530190960539
"4031","272","14",1.21002979807875,NA,5.05249712261867
"4032","272","15",1.46869136729137,2.83862653671176,1.52508416956156
"4033","272","16",NA,2.06530190960539,1.52508416956156
"4034","272","17",NA,3.03278267709459,1.52508416956156
"4035","272","18",1.30313534460312,1.53918507058795,3.28879064609012
"4036","272","19",1.92431450301223,1.20557440474087,3.28879064609012
"4037","272","20",5.05249712261867,NA,1.92431450301223
"4038","272","21",1.99480820630881,1.56743520965795,1.52508416956156
"4039","272","22",1.7246993362869,NA,1.01306823157051
"4040","272","23",1.39808057791122,1.53918507058795,1.52508416956156
"4041","272","24",1.38234806993688,1.92431450301223,3.28879064609012
"4042","272","25",3.28879064609012,NA,1.70378370731098
"4043","272","26",NA,NA,NA
"4044","272","27",NA,NA,NA
"4045","272","28",NA,NA,NA
"4046","272","29",NA,NA,NA
"4047","272","30",NA,NA,NA
"4048","272","31",NA,NA,NA
"4049","272","32",NA,NA,NA
"4050","272","33",NA,NA,NA
"4051","272","34",NA,NA,NA
"4052","272","35",NA,NA,NA
"4053","272","36",NA,NA,NA
"4054","272","37",NA,NA,NA
"4055","272","38",NA,NA,NA
"4056","272","39",NA,NA,NA
"4057","272","40",NA,NA,NA
"4058","272","41",NA,NA,NA
"4059","272","42",NA,NA,NA
"4060","272","43",NA,NA,NA
"4061","273","1",5.05249712261867,3.2678750171142,0.962157251506116
"4062","273","2",0.76254208478078,1.26377107627827,5.05249712261867
"4063","273","3",1.88301569936567,1.31877464868745,1.0326509548027
"4064","273","4",1.21002979807875,1.31877464868745,1.79589899684295
"4065","273","5",1.1497995575246,1.88301569936567,2.06530190960539
"4066","273","6",1.88301569936567,1.59681597962137,1.99480820630881
"4067","273","7",1.7246993362869,NA,1.39808057791122
"4068","273","8",1.3710424468725,1.53918507058795,NA
"4069","273","9",0.979127578194248,1.79519303958348,1.39808057791122
"4070","273","10",1.2485537343941,1.92431450301223,1.73169124375831
"4071","273","11",0.894975426595936,1.40579016917313,1.0326509548027
"4072","273","12",1.92431450301223,1.4874889680481,1.0326509548027
"4073","273","13",0.806686532052499,1.01306823157051,3.48840581281545
"4074","273","14",NA,NA,1.60241900219378
"4075","273","15",5.05249712261867,3.48840581281545,1.13069429846138
"4076","273","16",0.836398163569378,1.29642096631961,1.24541930368628
"4077","273","17",1.17618337325407,1.12304863162229,0.836398163569378
"4078","273","18",1.19366871327571,1.16664455351695,1.0373369986626
"4079","273","19",1.22202003526592,1.18646370546737,0.960454106399871
