ID,spname,position,,
499,85,Holcus lanatus,match,
500,85,Elymus repens,fac_only,
501,85,Rumex acetosella,FT_only,
502,85,Luzula alopecurus,FT_only,
503,93,Juniperus formosana,match,
504,93,Agrostis tenuis,fac_only,
505,93,Tribulus terrester,fac_only,
506,93,Setaria viridis,fac_only,
507,93,Bassia dasyphylla,fac_only,
508,93,Kummerowia stipulacea,fac_only,
509,93,Artemisia desertorum,FT_only,
510,93,Artemisia japonica,FT_only,
511,93,Salsola ruthenica,FT_only,
512,93,Stipa bungeana,FT_only,
513,93,Eleusine indica,FT_only,
514,93,Artemisia scoparia,FT_only,
515,94,Artemisia desertorum,match,
516,94,Setaria viridis,fac_only,
517,94,Oxytropis psamocharis,fac_only,
518,94,Salsola ruthenica,fac_only,
519,94,Herba Artimisiae,fac_only,
520,94,Medicago Sativa,fac_only,
521,94,Bassia dasyphylla,fac_only,
522,94,Agrostis tenuis,fac_only,
523,94,Kummerowia stipulacea,fac_only,
524,94,Agriophyllum squarrosum,fac_only,
525,94,Sonchus oleraceus,fac_only,
526,94,Heteropappus altaicus,fac_only,
527,94,Poa annua,fac_only,
528,94,Artemisia scoparia,fac_only,
529,94,Corispermum chinganicum,fac_only,
530,94,Tribulus terrester,fac_only,5
531,94,Cirsium japonicum,fac_only,
532,94,Euphorbia thymifolia,fac_only,
533,94,Caragana korshinskii,FT_only,
534,94,Ixeridium chinense,FT_only,
535,94,Eleusine indica,FT_only,
536,94,Tribulus terrestris,FT_only,5
537,94,Stipa bungeana,FT_only,
538,94,Allium mongolicum,FT_only,
539,95,Artemisia desertorum,match,
540,95,Juniperus formosana,match,
541,95,Salsola ruthenica,match,
542,95,Bassia dasyphylla,fac_only,
543,95,Setaria viridis,fac_only,
544,95,Kummerowia stipulacea,fac_only,
545,95,Allium mongolicum,fac_only,
546,95,Oxytropis psamocharis,fac_only,6
547,95,Agrostis tenuis,fac_only,
548,95,Poa annua,fac_only,
549,95,Agriophyllum squarrosum,fac_only,
550,95,Corispermum chinganicum,fac_only,
551,95,Herba Artimisiae,fac_only,
